doc_id,item,category,amount,price,discount
WP1FLOL4HO,стол,мебель,1,27.58,5.53
EXL5EZUE66,памперсы,товары для детей,1,819.53,78.65
5WZPRY0BSI,колбаса,продукты,3,203.52,48.86
6N245MVDES,сандалии,обувь,5,823.48,939.01
I2IWGQ4XEC,аксессуары для авто,автотовары,5,441.34,12.47
VLMGJ4QBL7,кастрюля,посудa,4,221.67,93.26
084LWKMOJC,тетрадь,канцтовары,5,294.93,167.51
MSSQXCACNB,ботинки,обувь,4,66.33,74.93
9QTATS7MCP,спортивная бутылка,здоровье и спорт,4,525.26,595.84
TEM1KUKGLM,насос для шин,автотовары,3,24.17,3.64
817497P4LS,морозилка,сезонные товары,4,83.84,34.94
RBBLV8UK2S,шторы,текстиль,2,466.06,36.41
GKFZGUYIEP,футболка,одежда,1,448.61,75.55
00LKR0LL94,зарядное устройство,электроника,4,22.9,12.35
YLF0JOAEZ0,масло моторное,автотовары,5,442.21,522.02
6I6HV9KTJV,зонтик,сезонные товары,5,457.37,588.06
CR33PBDJ7F,спортивная бутылка,здоровье и спорт,3,649.0,521.18
NW8GA3VZEW,чистящее средство,бытовая химия,1,121.95,30.94
AMIAED38A1,скатерть,текстиль,1,943.06,222.81
BA1RZB6IGL,подгузники,товары для детей,1,928.86,152.84
WYGXPAQHO8,зарядное устройство,электроника,1,512.69,86.75
X58P87ZZGF,отвертка,инструменты,3,68.04,50.73
HPTR6Y1289,стул,мебель,3,354.27,45.84
81PT2BP7YM,автомобильный пылесос,автотовары,2,536.48,204.87
NAMYFW9CR0,клей,канцтовары,4,645.04,679.95
WLBAV4FVK7,йога-коврик,здоровье и спорт,1,56.84,12.2
EY53JCA7QE,отвертка,инструменты,1,788.08,68.54
A9B8W63ZIX,универсальный пятновыводитель,бытовая химия,4,152.83,58.87
XVOZIMKHIQ,моющее средство,бытовая химия,3,138.99,13.55
SOCTZ6ZLCU,маркер,канцтовары,4,816.31,616.03
YKJQESR76D,скатерть,текстиль,5,31.46,26.3
O2FI54QVC6,помада,косметика,4,541.32,116.12
GI6LUBAOUP,сыр,продукты,5,528.71,781.19
31WVCB0XH2,простыни,текстиль,3,74.79,6.67
34FRBUZ82F,тушь для ресниц,косметика,4,737.71,554.53
2PHWCFDL2Z,шампунь,косметика,3,348.45,188.8
W9WK5KWTOD,средство для мытья посуды,бытовая химия,4,360.77,418.41
XNNDNZJLJC,овощи,продукты,1,944.48,5.85
FJL6V6ZXYK,простыни,текстиль,3,958.59,160.29
06B6UVABYU,тапочки,обувь,3,614.43,52.2
EMP60F3VVC,ботинки,обувь,2,704.96,202.69
T571I5PE4T,шампунь,косметика,4,132.48,10.92
RLOP8CZLI4,хлеб,продукты,2,632.36,146.22
5JW3N3R3HS,клей,канцтовары,1,34.3,3.87
P87ZZS5ICI,крем для лица,косметика,1,537.7,0.45
00D8R6XQOD,сандалии,обувь,5,399.9,248.41
MN156LEVWK,универсальный пятновыводитель,бытовая химия,1,366.06,83.05
PBYUQ18IX1,зонтик,сезонные товары,1,940.5,97.82
60SQO0ITWA,крем для лица,косметика,4,298.44,186.78
QNDQUUS44G,игрушки,товары для детей,5,202.54,114.67
